Season,Team,Division
2000-2001,Detroit Pistons,Central
2000-2001,Charlotte Hornets,Central
2000-2001,Milwaukee Bucks,Central
2000-2001,Cleveland Cavaliers,Central
2000-2001,Toronto Raptors,Central
2000-2001,Atlanta Hawks,Central
2000-2001,Chicago Bulls,Central
2000-2001,Minnesota Timberwolves,Midwest
2000-2001,San Antonio Spurs,Midwest
2000-2001,Dallas Mavericks,Midwest
2000-2001,Vancouver Grizzlies,Midwest
2000-2001,Houston Rockets,Midwest
2000-2001,Denver Nuggets,Midwest
2000-2001,Utah Jazz,Midwest
2000-2001,Los Angeles Lakers,Pacific
2000-2001,Sacramento Kings,Pacific
2000-2001,Portland Trail Blazers,Pacific
2000-2001,Golden State Warriors,Pacific
2000-2001,Seattle SuperSonics,Pacific
2000-2001,Phoenix Suns,Pacific
2000-2001,Los Angeles Clippers,Pacific
1999-2000,New Jersey Nets,Atlantic
1999-2000,Miami Heat,Atlantic
1999-2000,New York Knicks,Atlantic
1999-2000,Boston Celtics,Atlantic
1999-2000,Philadelphia 76ers,Atlantic
1999-2000,Washington Wizards,Atlantic
1999-2000,Orlando Magic,Atlantic
1999-2000,Indiana Pacers,Central
1999-2000,Detroit Pistons,Central
1999-2000,Charlotte Hornets,Central
1999-2000,Milwaukee Bucks,Central
1999-2000,Cleveland Cavaliers,Central
1999-2000,Toronto Raptors,Central
1999-2000,Atlanta Hawks,Central
1999-2000,Chicago Bulls,Central
1999-2000,Minnesota Timberwolves,Midwest
1999-2000,San Antonio Spurs,Midwest
1999-2000,Dallas Mavericks,Midwest
1999-2000,Vancouver Grizzlies,Midwest
1999-2000,Houston Rockets,Midwest
1999-2000,Denver Nuggets,Midwest
1999-2000,Utah Jazz,Midwest
1999-2000,Los Angeles Lakers,Pacific
1999-2000,Sacramento Kings,Pacific
1999-2000,Portland Trail Blazers,Pacific
1999-2000,Golden State Warriors,Pacific
1999-2000,Seattle SuperSonics,Pacific
1999-2000,Phoenix Suns,Pacific
1999-2000,Los Angeles Clippers,Pacific
1998-1999,New Jersey Nets,Atlantic
1998-1999,Miami Heat,Atlantic
1998-1999,New York Knicks,Atlantic
1998-1999,Boston Celtics,Atlantic
1998-1999,Philadelphia 76ers,Atlantic
1998-1999,Washington Wizards,Atlantic
1998-1999,Orlando Magic,Atlantic
1998-1999,Indiana Pacers,Central
1998-1999,Detroit Pistons,Central
1998-1999,Charlotte Hornets,Central
1998-1999,Milwaukee Bucks,Central
1998-1999,Cleveland Cavaliers,Central
1998-1999,Toronto Raptors,Central
1998-1999,Atlanta Hawks,Central
1998-1999,Chicago Bulls,Central
1998-1999,Minnesota Timberwolves,Midwest
1998-1999,San Antonio Spurs,Midwest
1998-1999,Dallas Mavericks,Midwest
1998-1999,Vancouver Grizzlies,Midwest
1998-1999,Houston Rockets,Midwest
1998-1999,Denver Nuggets,Midwest
1998-1999,Utah Jazz,Midwest
1998-1999,Los Angeles Lakers,Pacific
1998-1999,Sacramento Kings,Pacific
1998-1999,Portland Trail Blazers,Pacific
1998-1999,Golden State Warriors,Pacific
1998-1999,Seattle SuperSonics,Pacific
1998-1999,Phoenix Suns,Pacific
1998-1999,Los Angeles Clippers,Pacific
1997-1998,New Jersey Nets,Atlantic
1997-1998,Miami Heat,Atlantic
1997-1998,New York Knicks,Atlantic
1997-1998,Boston Celtics,Atlantic
1997-1998,Philadelphia 76ers,Atlantic
1997-1998,Washington Wizards,Atlantic
1997-1998,Orlando Magic,Atlantic
1997-1998,Indiana Pacers,Central
1997-1998,Detroit Pistons,Central
1997-1998,Charlotte Hornets,Central
1997-1998,Milwaukee Bucks,Central
1997-1998,Cleveland Cavaliers,Central
1997-1998,Toronto Raptors,Central
1997-1998,Atlanta Hawks,Central
1997-1998,Chicago Bulls,Central
1997-1998,Minnesota Timberwolves,Midwest
1997-1998,San Antonio Spurs,Midwest
1997-1998,Dallas Mavericks,Midwest
1997-1998,Vancouver Grizzlies,Midwest
1997-1998,Houston Rockets,Midwest
1997-1998,Denver Nuggets,Midwest
1997-1998,Utah Jazz,Midwest
1997-1998,Los Angeles Lakers,Pacific
1997-1998,Sacramento Kings,Pacific
1997-1998,Portland Trail Blazers,Pacific
1997-1998,Golden State Warriors,Pacific
1997-1998,Seattle SuperSonics,Pacific
1997-1998,Phoenix Suns,Pacific
1997-1998,Los Angeles Clippers,Pacific
1996-1997,New Jersey Nets,Atlantic
1996-1997,Miami Heat,Atlantic
1996-1997,New York Knicks,Atlantic
1996-1997,Boston Celtics,Atlantic
1996-1997,Philadelphia 76ers,Atlantic
1996-1997,Washington Bullets,Atlantic
1996-1997,Orlando Magic,Atlantic
1996-1997,Indiana Pacers,Central
1996-1997,Detroit Pistons,Central
1996-1997,Charlotte Hornets,Central
1996-1997,Milwaukee Bucks,Central
1996-1997,Cleveland Cavaliers,Central
1996-1997,Toronto Raptors,Central
1996-1997,Atlanta Hawks,Central
1996-1997,Chicago Bulls,Central
1996-1997,Minnesota Timberwolves,Midwest
1996-1997,San Antonio Spurs,Midwest
1996-1997,Dallas Mavericks,Midwest
1996-1997,Vancouver Grizzlies,Midwest
1996-1997,Houston Rockets,Midwest
1996-1997,Denver Nuggets,Midwest
1996-1997,Utah Jazz,Midwest
1996-1997,Los Angeles Lakers,Pacific
1996-1997,Sacramento Kings,Pacific
1996-1997,Portland Trail Blazers,Pacific
1996-1997,Golden State Warriors,Pacific
1996-1997,Seattle SuperSonics,Pacific
1996-1997,Phoenix Suns,Pacific
1996-1997,Los Angeles Clippers,Pacific
1995-1996,New Jersey Nets,Atlantic
1995-1996,Miami Heat,Atlantic
1995-1996,New York Knicks,Atlantic
1995-1996,Boston Celtics,Atlantic
1995-1996,Philadelphia 76ers,Atlantic
1995-1996,Washington Bullets,Atlantic
1995-1996,Orlando Magic,Atlantic
1995-1996,Indiana Pacers,Central
1995-1996,Detroit Pistons,Central
1995-1996,Milwaukee Bucks,Central
1995-1996,Cleveland Cavaliers,Central
1995-1996,Toronto Raptors,Central
1995-1996,Atlanta Hawks,Central
1995-1996,Chicago Bulls,Central
1995-1996,Minnesota Timberwolves,Midwest
1995-1996,San Antonio Spurs,Midwest
1995-1996,Dallas Mavericks,Midwest
1995-1996,Vancouver Grizzlies,Midwest
1995-1996,Houston Rockets,Midwest
1995-1996,Denver Nuggets,Midwest
1995-1996,Utah Jazz,Midwest
1995-1996,Los Angeles Lakers,Pacific
1995-1996,Sacramento Kings,Pacific
1995-1996,Portland Trail Blazers,Pacific
1995-1996,Golden State Warriors,Pacific
1995-1996,Seattle SuperSonics,Pacific
1995-1996,Phoenix Suns,Pacific
1995-1996,Los Angeles Clippers,Pacific
1994-1995,New Jersey Nets,Atlantic
1994-1995,Miami Heat,Atlantic
1994-1995,New York Knicks,Atlantic
1994-1995,Boston Celtics,Atlantic
1994-1995,Philadelphia 76ers,Atlantic
1994-1995,Washington Bullets,Atlantic
1994-1995,Orlando Magic,Atlantic
1994-1995,Indiana Pacers,Central
1994-1995,Detroit Pistons,Central
1994-1995,Milwaukee Bucks,Central
1994-1995,Cleveland Cavaliers,Central
1994-1995,Charlotte Hornets,Central
1994-1995,Atlanta Hawks,Central
1994-1995,Chicago Bulls,Central
1994-1995,Minnesota Timberwolves,Midwest
1994-1995,San Antonio Spurs,Midwest
1994-1995,Dallas Mavericks,Midwest
1994-1995,Houston Rockets,Midwest
1994-1995,Denver Nuggets,Midwest
1994-1995,Utah Jazz,Midwest
1994-1995,Los Angeles Lakers,Pacific
1994-1995,Sacramento Kings,Pacific
1994-1995,Portland Trail Blazers,Pacific
1994-1995,Golden State Warriors,Pacific
1994-1995,Seattle SuperSonics,Pacific
1994-1995,Phoenix Suns,Pacific
1994-1995,Los Angeles Clippers,Pacific
1993-1994,New Jersey Nets,Atlantic
1993-1994,Miami Heat,Atlantic
1993-1994,New York Knicks,Atlantic
1993-1994,Boston Celtics,Atlantic
1993-1994,Philadelphia 76ers,Atlantic
1993-1994,Washington Bullets,Atlantic
1993-1994,Orlando Magic,Atlantic
1993-1994,Indiana Pacers,Central
1993-1994,Detroit Pistons,Central
1993-1994,Milwaukee Bucks,Central
1993-1994,Cleveland Cavaliers,Central
1993-1994,Charlotte Hornets,Central
1993-1994,Atlanta Hawks,Central
1993-1994,Chicago Bulls,Central
1993-1994,Minnesota Timberwolves,Midwest
1993-1994,San Antonio Spurs,Midwest
1993-1994,Dallas Mavericks,Midwest
1993-1994,Houston Rockets,Midwest
1993-1994,Denver Nuggets,Midwest
1993-1994,Utah Jazz,Midwest
1993-1994,Los Angeles Lakers,Pacific
1993-1994,Sacramento Kings,Pacific
1993-1994,Portland Trail Blazers,Pacific
1993-1994,Golden State Warriors,Pacific
1993-1994,Seattle SuperSonics,Pacific
1993-1994,Phoenix Suns,Pacific
1993-1994,Los Angeles Clippers,Pacific
1992-1993,New Jersey Nets,Atlantic
1992-1993,Miami Heat,Atlantic
1992-1993,New York Knicks,Atlantic
1992-1993,Boston Celtics,Atlantic
1992-1993,Philadelphia 76ers,Atlantic
1992-1993,Washington Bullets,Atlantic
1992-1993,Orlando Magic,Atlantic
1992-1993,Indiana Pacers,Central
1992-1993,Detroit Pistons,Central
