SEASON,RK,NAME,TEAM,SALARY
2014-2015,53,"Gerald Wallace, SF",Boston Celtics,10105855
2014-2015,83,"Avery Bradley, PG",Boston Celtics,7191011
2014-2015,90,"Brandon Bass, PF",Boston Celtics,6900000
2014-2015,185,"Marcus Smart, PG",Boston Celtics,3283320
2014-2015,189,"Evan Turner, SG",Boston Celtics,3278000
2014-2015,243,"Vitor Faverani, C",Boston Celtics,2090000
2014-2015,250,"Kelly Olynyk, C",Boston Celtics,2075760
2014-2015,273,"Tyler Zeller, C",Boston Celtics,1703760
2014-2015,275,"James Young, SG",Boston Celtics,1674480
2014-2015,294,"Jared Sullinger, C",Boston Celtics,1424520
2014-2015,374,"Erik Jay Murphy, PF",Boston Celtics,816482
2015-2016,66,"Gerald Wallace, SF",Boston Celtics,10105855
2015-2016,91,"Avery Bradley, PG",Boston Celtics,7730337
2015-2016,104,"Isaiah Thomas, PG",Boston Celtics,6912869
2015-2016,105,"Jae Crowder, SF",Boston Celtics,6796117
2015-2016,143,"Jonas Jerebko, PF",Boston Celtics,5e+06
2015-2016,184,"Marcus Smart, PG",Boston Celtics,3431040
2015-2016,186,"Evan Turner, SG",Boston Celtics,3425510
2015-2016,225,"Tyler Zeller, C",Boston Celtics,2616975
2015-2016,227,"Jared Sullinger, C",Boston Celtics,2569260
2015-2016,249,"Kelly Olynyk, C",Boston Celtics,2165160
2015-2016,261,"Perry Jones, SF",Boston Celtics,2038206
2015-2016,271,"Terry Rozier, PG",Boston Celtics,1824360
2015-2016,273,"James Young, SG",Boston Celtics,1749840
2015-2016,277,"Zoran Dragic, SG",Boston Celtics,1706225
2015-2016,319,"Jordan Mickey, PF",Boston Celtics,1170960
2015-2016,326,"R.J. Hunter, SG",Boston Celtics,1148640
2005-2006,133,"Andrea Bargnani, C",Brooklyn Nets,4501200
2006-2007,251,"Zoran Planinic, PG",Brooklyn Nets,1854376
2006-2007,253,"Thaddeus Young, PF",Brooklyn Nets,1830720
2007-2008,281,"Clifford Robinson, PF",Brooklyn Nets,1600000
2007-2008,322,"Bernard Robinson, SG",Brooklyn Nets,1080000
2007-2008,344,"Mile Ilic, C",Brooklyn Nets,850000
2009-2010,93,"Marko Jaric, PG",Brooklyn Nets,7100000
2010-2011,93,"Marko Jaric, PG",Brooklyn Nets,7100000
2011-2012,90,"Marko Jaric, PG",Brooklyn Nets,7100000
2011-2012,355,"Quinton Ross, SF",Brooklyn Nets,1033342
2011-2012,505,"Mario West, SG",Brooklyn Nets,20103
2012-2013,4,"Joe Johnson, SF",Brooklyn Nets,19752645
2012-2013,13,"Deron Williams, PG",Brooklyn Nets,17177795
2012-2013,26,"Brook Lopez, C",Brooklyn Nets,13668750
2012-2013,40,"Kris Humphries, PF",Brooklyn Nets,1.2e+07
2012-2013,49,"Mehmet Okur, C",Brooklyn Nets,10890000
2012-2013,57,"Gerald Wallace, SF",Brooklyn Nets,9682435
2012-2013,207,"Mirza Teletovic, PF",Brooklyn Nets,3090000
2012-2013,298,"Reggie Evans, C",Brooklyn Nets,1622617
2012-2013,341,"MarShon Brooks, SG",Brooklyn Nets,1160040
2012-2013,364,"Quinton Ross, SF",Brooklyn Nets,1033342
2012-2013,370,"C.J. Watson, PG",Brooklyn Nets,992680
2012-2013,472,"James Mays, PF",Brooklyn Nets,473604
2012-2013,510,"Armon Johnson, PG",Brooklyn Nets,104494
2012-2013,517,"Damion James, SF",Brooklyn Nets,68902
2012-2013,529,"Kris Joseph, SF",Brooklyn Nets,27859
2012-2013,531,"Larry Owens, SF",Brooklyn Nets,22287
2012-2013,532,"Mario West, SG",Brooklyn Nets,20103
2013-2014,4,"Joe Johnson, SF",Brooklyn Nets,21466718
2013-2014,12,"Deron Williams, PG",Brooklyn Nets,18466130
2013-2014,18,"Paul Pierce, SF",Brooklyn Nets,15333334
2013-2014,37,"Kevin Garnett, PF",Brooklyn Nets,12433735
2013-2014,106,"Jason Terry, SG",Brooklyn Nets,5625313
2013-2014,173,"Mirza Teletovic, PF",Brooklyn Nets,3229050
2013-2014,177,"Andrei Kirilenko, SF",Brooklyn Nets,3183000
2013-2014,270,"Andray Blatche, C",Brooklyn Nets,1375604
2013-2014,276,"Mason Plumlee, C",Brooklyn Nets,1298640
2013-2014,297,"Marquis Teague, PG",Brooklyn Nets,1074720
2013-2014,306,"Alan Anderson, SG",Brooklyn Nets,947907
2013-2014,364,"Jason Collins, C",Brooklyn Nets,275691
2013-2014,379,"Jorge Gutierrez, PG",Brooklyn Nets,54785
2014-2015,2,"Joe Johnson, SF",Brooklyn Nets,23180790
2014-2015,8,"Deron Williams, PG",Brooklyn Nets,19754465
2014-2015,19,"Brook Lopez, C",Brooklyn Nets,15719062
2014-2015,60,"Thaddeus Young, PF",Brooklyn Nets,9410869
2014-2015,99,"Jarrett Jack, PG",Brooklyn Nets,6300000
2014-2015,178,"Mirza Teletovic, PF",Brooklyn Nets,3368100
